ID,Name,Email,Bonus,Report,App,LT
18424005,Đặng Văn Thường,dvthuong@gmail.com,0,0,0,4.5
18424013,Nguyễn Ngọc Châu,nnchau@outlook.com,2,8,8,5.5
18424014,Nguyễn Văn A,nva@gmail.com,3,7,5,6
18424015,Nguyễn Văn B,nvb@outlook.com,4,6,3,7
18424016,Nguyễn Văn C,nvc@gmail.com,5,5,5,8
18424017,Nguyễn Văn D,nvd@outlook.com,4,4,1,6
18424018,Nguyễn Văn E,nve@gmail.com,6,3,4,8
18424019,Nguyễn Văn F,nvf@outlook.com,7,2,2.5,7.5
18424020,Nguyễn Văn G,nvg@gmail.com,8,1,4,2
18424021,Nguyễn Văn H,nvh@gmail.com,9,0,1,4
18424022,Nguyễn Văn I,nvi@outlook.com,1,1,4,6
18424023,Nguyễn Văn J,nvj@gmail.com,3,2,3,3
18424024,Nguyễn Văn K,nvk@outlook.com,4,4,5.5,1
18424025,Nguyễn Văn L,nvl@gmail.com,6,3,8.5,5
18424026,Nguyễn Văn M,nvm@outlook.com,5,4,8,2
